issue_key,assignment_date,close_date
BOOKKEEPER-831,2014-12-17T16:06:17.000+0000,2016-05-16T21:47:31.119+0000
BOOKKEEPER-830,2014-12-17T16:00:49.000+0000,2016-05-16T21:47:52.914+0000
BOOKKEEPER-829,2014-12-17T15:56:40.000+0000,2015-08-23T15:26:05.026+0000
BOOKKEEPER-828,2014-12-16T18:58:30.000+0000,2016-05-16T21:47:35.495+0000
BOOKKEEPER-822,2014-12-09T21:56:43.794+0000,
BOOKKEEPER-806,2014-11-27T09:17:27.860+0000,2017-10-09T09:31:14.755+0000
BOOKKEEPER-804,2014-11-24T13:05:38.403+0000,2016-05-16T21:47:37.657+0000
BOOKKEEPER-803,2014-11-21T17:00:24.000+0000,2016-05-16T21:47:49.990+0000
BOOKKEEPER-802,2014-11-21T16:56:18.000+0000,2016-05-16T21:47:28.643+0000
BOOKKEEPER-801,2014-11-21T16:51:10.000+0000,2016-05-16T21:47:51.614+0000
BOOKKEEPER-800,2014-11-21T13:30:18.000+0000,2016-05-16T21:47:50.295+0000
BOOKKEEPER-799,2014-11-21T11:33:30.000+0000,2016-05-16T21:47:46.787+0000
BOOKKEEPER-798,2014-11-19T15:07:16.000+0000,2014-12-02T10:11:02.007+0000
BOOKKEEPER-793,2014-10-14T12:15:05.306+0000,2016-05-16T21:47:26.191+0000
BOOKKEEPER-792,2014-10-13T16:11:10.000+0000,
BOOKKEEPER-791,2014-10-09T10:07:58.000+0000,2014-10-10T14:20:18.945+0000
BOOKKEEPER-785,2014-09-17T14:34:47.000+0000,2014-09-18T04:47:42.963+0000
BOOKKEEPER-784,2014-09-18T04:54:06.964+0000,2014-09-18T04:54:06.964+0000
BOOKKEEPER-780,2014-08-28T16:26:31.000+0000,2014-09-04T21:49:48.909+0000
BOOKKEEPER-779,2014-08-28T14:53:15.000+0000,2014-09-06T05:27:23.080+0000
BOOKKEEPER-778,2014-08-29T15:45:02.205+0000,2014-09-09T03:57:24.485+0000
BOOKKEEPER-777,2014-08-29T10:39:50.267+0000,2014-09-06T05:14:17.758+0000
BOOKKEEPER-776,2014-08-26T14:07:18.590+0000,2014-09-09T10:40:29.660+0000
BOOKKEEPER-767,2014-06-04T09:05:31.000+0000,2014-06-06T13:32:43.059+0000
BOOKKEEPER-766,2014-06-03T17:05:57.000+0000,2014-06-05T10:56:49.665+0000
BOOKKEEPER-765,2014-06-03T16:23:32.000+0000,2014-06-10T10:04:20.233+0000
BOOKKEEPER-764,2014-05-30T15:44:48.000+0000,2014-05-30T15:49:49.950+0000
BOOKKEEPER-763,2014-05-29T12:45:01.000+0000,2014-05-30T10:42:17.057+0000
BOOKKEEPER-750,2014-04-29T20:10:53.000+0000,2014-05-23T16:49:20.191+0000
BOOKKEEPER-746,2014-04-04T15:29:38.000+0000,2014-06-03T11:56:58.115+0000
BOOKKEEPER-745,2014-04-04T15:27:30.000+0000,2014-06-02T15:55:14.159+0000
BOOKKEEPER-744,2014-04-04T15:26:01.000+0000,2014-05-06T13:14:12.474+0000
BOOKKEEPER-743,2014-04-04T15:24:54.000+0000,2014-04-24T12:45:31.395+0000
BOOKKEEPER-742,2014-04-04T15:23:54.000+0000,2014-04-24T11:41:12.422+0000
BOOKKEEPER-741,2014-04-04T15:20:59.000+0000,2014-04-04T16:54:18.893+0000
BOOKKEEPER-730,2014-02-17T18:54:41.116+0000,2014-03-07T18:06:24.889+0000
BOOKKEEPER-729,2014-02-04T16:49:37.000+0000,2014-02-06T08:26:11.202+0000
BOOKKEEPER-728,2014-02-04T16:47:49.000+0000,2014-02-06T08:21:31.393+0000
BOOKKEEPER-727,2014-02-04T16:46:44.000+0000,2014-02-05T21:52:30.150+0000
BOOKKEEPER-726,2014-02-04T16:45:33.000+0000,2014-03-10T02:11:09.188+0000
BOOKKEEPER-725,2014-02-04T16:43:35.000+0000,2014-02-06T08:31:33.864+0000
BOOKKEEPER-720,2014-01-21T11:19:27.000+0000,2014-01-22T06:38:04.260+0000
BOOKKEEPER-699,2013-10-29T17:58:28.000+0000,2013-11-09T18:50:33.993+0000
BOOKKEEPER-692,2011-03-14T17:20:36.000+0000,2017-10-09T09:36:36.888+0000
BOOKKEEPER-688,2013-10-07T03:25:29.620+0000,2014-03-04T08:21:00.047+0000
BOOKKEEPER-685,2013-09-26T17:45:17.207+0000,2013-10-02T09:53:02.906+0000
BOOKKEEPER-684,2013-09-19T21:18:02.568+0000,2013-09-19T21:18:02.568+0000
BOOKKEEPER-679,2013-09-04T15:49:17.000+0000,2013-09-09T10:29:51.220+0000
BOOKKEEPER-675,2013-08-22T15:22:13.000+0000,2013-09-10T22:36:51.743+0000
BOOKKEEPER-664,2013-07-29T12:35:59.000+0000,2013-10-22T05:44:36.870+0000
