ticket_id,arrival_time,closed_time,time_in_system,dev_cycles,review_cycles,test_cycles,wait_dev,wait_review,wait_testing,total_wait,service_time_dev,service_time_review,service_time_testing,service_starts_dev,service_starts_review,service_starts_testing,markov_time_dev,markov_time_rev,markov_time_test,markov_time_off,markov_stint_counts
1,0.0,242.78698839442717,242.78698839442717,1,1,1,0.0,0.0,35.33486484888789,35.33486484888789,110.43024967310339,75.87101936525733,21.150854507178565,1,1,1,,,,,
2,4.282166724044526,334.44746642840175,330.1652997043572,1,1,1,0.0,0.0,19.65720161664619,19.65720161664619,4.541392654095944,118.47749561941805,187.489209814197,1,1,1,,,,,
3,7.251131987350078,,,0,0,0,0.0,0,0,0.0,316.2099590056075,0,0,1,0,0,,,,,
4,7.31877307023621,,,0,0,0,0.0,0.0,72.91181375099626,72.91181375099626,158.7699407253208,115.6430270520259,87.10771568511359,1,1,1,,,,,
5,18.71263394211347,,,0,0,0,0.0,0.0,0,0.0,66.71928457011745,740.9577014316471,0,1,1,0,,,,,
6,20.55180761129769,323.69501174227054,303.14320413097283,1,1,1,0.0,0.0,31.220538946788736,31.220538946788736,167.73536943897693,64.08465434051482,40.10264140469235,1,1,1,,,,,
7,21.04038281824331,,,0,0,0,0.0,0,0,0.0,293.0015687750865,0,0,1,0,0,,,,,
8,21.764738403178377,,,0,0,0,0.0,0,0,0.0,534.067035756937,0,0,1,0,0,,,,,
9,21.919420006234112,,,0,0,0,0.0,0.0,34.34201015956128,34.34201015956128,92.64298334224009,69.93708449364794,169.70861106716097,1,1,1,,,,,
10,24.961200933682093,,,0,0,0,0.0,13.881075021139964,0,13.881075021139964,192.02783528702184,149.0708934375118,0,1,1,0,,,,,
11,25.295441326832986,,,0,0,0,0.0,0,0,0.0,373.6784586215599,0,0,1,0,0,,,,,
12,25.71870723765524,,,0,0,0,0.0,0.0,41.07747223007061,41.07747223007061,25.841407653870647,179.78763206220674,113.64158897980747,1,1,1,,,,,
13,33.52508250238246,,,0,0,0,0.0,0.0,0,0.0,168.85587777406204,253.62702081833254,0,1,1,0,,,,,
14,34.73988711476576,,,0,0,0,0.0,0,0,0.0,587.2818134347831,0,0,1,0,0,,,,,
15,35.40457587272189,,,0,0,0,0.0,9.623405202394054,0,9.623405202394054,239.01144564594279,86.30090570687958,0,1,1,0,,,,,
16,46.76347573518208,,,0,0,0,0.0,0.0,0,0.0,62.80105251863097,196.00583866296483,0,1,1,0,,,,,
17,55.05445204117936,,,0,0,0,0.0,0.0,77.58570147130757,77.58570147130757,8.140311330754457,220.86698118700588,232.86264700051584,1,1,1,,,,,
18,56.654900760887124,351.17704568731676,294.52214492642963,1,1,1,0.0,0.0,29.19837305359067,29.19837305359067,159.9124065877786,14.30280389317818,91.10856139188218,1,1,1,,,,,
19,58.0898077322169,,,0,0,0,0.0,0.0,21.00522497272931,21.00522497272931,83.95944318205761,76.7922470874089,160.5235671416956,1,1,1,,,,,
20,58.5837931670886,,,0,0,0,0.0,0.0,38.009633312061965,38.009633312061965,125.46699392290316,76.0176972054428,211.01031223456812,1,1,1,,,,,
21,62.829917751537955,,,0,0,0,0.0,0.0,0,0.0,180.89843144187785,62.03921408452993,0,1,1,0,,,,,
22,67.6274383245814,,,0,0,0,0.0,0,0,0.0,236.3073135213872,0,0,1,0,0,,,,,
23,70.92794309378867,,,0,0,0,0.0,0.0,66.19393523396872,66.19393523396872,15.119499960280791,209.9594498612173,169.38370526253857,1,1,1,,,,,
24,71.34216873217568,,,0,0,0,0.0,7.810999844168748,0,7.810999844168748,202.5785722712385,227.77024084774416,0,1,1,0,,,,,
25,75.40443169759111,361.6143854411864,286.2099537435953,1,1,1,10.027486814639815,0.0,18.61805570632339,28.645542520963204,16.90953861292337,81.42144744496682,159.2334251647419,1,1,1,,,,,
26,80.05618812980515,,,0,0,0,5.991254924264311,0.0,0,5.991254924264311,183.83155867708524,113.63941060146271,0,1,1,0,,,,,
27,82.73553892035682,221.6361338872486,138.9005949668918,1,1,1,7.443728548700875,0.0,6.406600758912887,13.850329307613762,29.824566632323467,0.8906201372644773,94.33507888969007,1,1,1,,,,,
28,87.52875191610487,,,0,0,0,10.021711198610944,5.9758007374815065,0,15.997511936092451,186.0419072228624,47.796618544329476,0,1,1,0,,,,,
29,88.46125046331078,318.3761324170457,229.91488195373495,1,1,1,15.055043807605259,0.0,36.130767206122925,51.185811013728184,42.60271555122836,126.30620936165883,9.820146027119563,1,1,1,,,,,
30,90.17926746905769,,,0,0,0,24.3831358794165,0.0,0,24.3831358794165,27.567642904542254,229.1695801784042,0,1,1,0,,,,,
31,94.7606370924303,,,0,0,0,41.25647723588813,0.0,41.244684206041086,82.50116144192921,23.73261301853745,117.38172086414875,94.49457173534961,1,1,1,,,,,
32,95.60554511312127,,,0,0,0,45.84663522666513,11.300703475518475,0,57.1473387021836,27.37671046028572,529.2132953743644,0,1,1,0,,,,,
33,95.86605090231245,,,0,0,0,46.18320001196207,0.0,77.57495872012765,123.75815873208973,21.121465825753603,120.86870998103063,125.32370865628286,1,1,1,,,,,
34,96.97871968220018,,,0,0,0,45.151326570816266,0.5362340216332768,0,45.68756059244954,155.94807135448013,79.55001380590875,0,1,1,0,,,,,
35,97.55046311471581,,,0,0,0,45.84633002647821,0,0,45.84633002647821,276.5639505468912,0,0,1,0,0,,,,,
36,102.84475377386852,,,0,0,0,43.27425604827587,0,0,43.27425604827587,448.22977992242477,0,0,1,0,0,,,,,
37,103.51629427091603,,,0,0,0,59.65442246911209,0,0,59.65442246911209,210.21960492181302,0,0,1,0,0,,,,,
38,108.87360819304298,,,0,0,0,59.95528260702913,0,0,59.95528260702913,272.5419217096412,0,0,1,0,0,,,,,
39,116.23711397511164,,,0,0,0,67.52579059500948,5.320400216838777,0,72.84619081184826,114.8514470590087,89.72986363493646,0,1,1,0,,,,,
40,117.99412783744489,,,0,0,0,70.29304921282974,0,0,70.29304921282974,173.43262979873612,0,0,1,0,0,,,,,
41,118.81094495209638,,,0,0,0,76.08142963181157,0,0,76.08142963181157,376.5810479070815,0,0,1,0,0,,,,,
42,119.22617222541867,,,0,0,0,79.9244521426525,0,0,79.9244521426525,106.43483256705258,0,0,1,0,0,,,,,
43,120.56573325279214,,,0,0,0,96.0015740958736,23.35576431915581,0,119.3573384150294,83.53801932513602,184.98667783590872,0,1,1,0,,,,,
44,122.94447873142849,,,0,0,0,94.04455748927546,6.4387218402270605,0,100.48327932950252,72.57913485435574,169.99972450106407,0,1,1,0,,,,,
45,124.41433746655123,,,0,0,0,123.2081771961396,48.18367435831715,0,171.39185155445676,55.20430297049825,173.83866317255024,0,1,1,0,,,,,
46,136.01711432831843,,,0,0,0,135.30416990660564,0,0,135.30416990660564,113.42029458208776,0,0,1,0,0,,,,,
47,137.18113401198679,,,0,0,0,136.73960699142737,0,0,136.73960699142737,875.7921788865256,0,0,1,0,0,,,,,
48,138.27139389700702,,,0,0,0,136.1446276216577,0,0,136.1446276216577,123.4783361869579,0,0,1,0,0,,,,,
49,138.39362175073538,,,0,0,0,146.09868776246284,0,0,146.09868776246284,312.333538735772,0,0,1,0,0,,,,,
50,141.4521803397864,,,0,0,0,152.45957108221657,0,0,152.45957108221657,272.45194096475734,0,0,1,0,0,,,,,
51,142.51439505369595,,,0,0,0,155.5637225538006,0,0,155.5637225538006,333.2366330956952,0,0,1,0,0,,,,,
52,143.39679314119402,,,0,0,0,156.70853353260773,0,0,156.70853353260773,191.64241900574052,0,0,1,0,0,,,,,
53,146.65051470399854,,,0,0,0,156.17630292919054,0,0,156.17630292919054,253.2372135892681,0,0,1,0,0,,,,,
54,146.9582566142047,,,0,0,0,158.627200320919,0,0,158.627200320919,331.1613663384146,0,0,1,0,0,,,,,
55,147.6295910275409,,,0,0,0,158.13797225040483,0,0,158.13797225040483,377.9231613113634,0,0,1,0,0,,,,,
56,147.76497447553328,,,0,0,0,166.27697711779655,0,0,166.27697711779655,48.158876555925644,0,0,1,0,0,,,,,
57,150.6716163286911,,,0,0,0,173.38346306062087,0,0,173.38346306062087,137.04904651575703,0,0,1,0,0,,,,,
58,154.35249248935762,,,0,0,0,183.01229713003156,0,0,183.01229713003156,47.39039644213699,0,0,1,0,0,,,,,
59,154.40688991672786,,,0,0,0,207.3129169322829,0,0,207.3129169322829,220.7002169489922,0,0,1,0,0,,,,,
60,156.7406843801372,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
61,157.57589790833842,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
62,160.94546061061047,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
63,162.53559505269516,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
64,171.51246317648344,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
65,172.41289040129823,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
66,172.73070395395493,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
67,180.1295942755906,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
68,187.63141694520237,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
69,190.972316929774,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
70,191.00236489718688,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
71,191.35032773705097,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
72,194.89237458390795,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
73,198.3247582371299,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
74,199.15062436807116,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
75,203.2008251761796,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
76,209.35362400284836,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
77,212.83925013360957,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
78,215.57114421896105,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
79,215.89100957920013,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
80,217.38181761153604,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
81,222.53254931850827,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
82,226.70094551539339,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
83,227.77275858205786,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
84,227.85281342990245,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
85,231.2251223368639,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
86,231.27578106456104,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
87,239.84672297441273,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
88,241.42818486186144,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
89,247.62251466269083,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
90,250.36763832336334,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
91,250.70009294014633,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
92,253.80430637111078,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
93,254.29511269556716,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
94,256.6707443669214,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
95,263.4955945411521,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
96,267.37882407827834,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
97,271.32128423492406,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
98,277.8838259512032,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
99,283.05014886850176,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
100,284.39157602999313,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
101,284.4923095131982,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
102,285.2829495201539,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
103,288.4544449881982,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
104,288.74456668871403,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
105,288.91713880269873,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
106,291.3819218365917,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
107,293.91175142200296,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
108,306.0210691102233,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
109,306.3558935887453,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
110,308.55598638992615,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
111,310.40609377310744,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
112,312.0592468050498,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
113,315.170587883627,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
114,316.6970637820373,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
115,319.8942681920244,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
116,320.4726605423047,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
117,320.71065592353676,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
118,324.05507938931197,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
119,326.84140730075467,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
120,328.4391580935266,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
121,331.79149391296613,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
122,333.78487782016424,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
123,336.3501678551848,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
124,337.9369488346907,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
125,345.6039830486826,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
126,346.31259984725403,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
127,346.54637311063675,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
128,346.89182675372035,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
129,346.95163220148777,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
130,347.27425516646355,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
131,351.0104919915062,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
132,351.4194418603506,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
133,354.64355459857916,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
134,359.9346805424416,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
135,361.01220587377475,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
136,361.6474460302473,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
